Obiekt,D teoretyczne,D obliczone,R²,Błąd (%)
Prosta linia,1.0,0.989513520821403,0.9998618479927376,1.048647917859702
Kwadrat wypełniony,2.0,1.8802927944754635,0.9972720988526965,5.985360276226825
Okrąg,1.0,0.9253300757243563,0.9898119446864947,7.466992427564367
Trójkąt Sierpińskiego,1.5849625007211563,1.57947678416817,0.9996142214424133,0.3461101792938474
Dywan Sierpińskiego,1.892789260714372,1.8653878247271207,0.9993531293765534,1.4476749501901451
