a,b,D_teoretyczny,D_numeryczny,Błąd (%)
0.5,3,1.3690702464285427,1.2618374536656545,7.832526712389197
0.5,5,1.5693234419266069,1.362148023527707,13.201575460094919
0.5,7,1.6437928128919779,1.4119680517146482,14.103040198203132
0.5,9,1.6845351232142713,1.4199340467684416,15.707661585645235
0.5,11,1.7109351736821121,1.4333948175429512,16.221558853212713
0.5,13,1.7297618455726802,1.4327155004298084,17.17267298403887
0.5,15,1.7440419751901846,1.4269349673836706,18.182303655388456
0.5,17,1.755349457881774,1.4247539294782776,18.833601874491404
0.5,19,1.7645910866333618,1.4205527207722148,19.49677568175485
0.5,21,1.772329751303047,1.429648277194599,19.33508557628752
