a,b,D_teoretyczny,D_numeryczny,Błąd (%)
0.3,3,1.0,1.033043633622361,3.3043633622360957
0.3666666666666667,3,1.0867550643547537,1.092984112557224,0.5731786680164855
0.43333333333333335,3,1.2388142451834083,1.1862082319051046,4.246481139754356
0.5,3,1.3690702464285427,1.2618374536656545,7.832526712389197
0.5666666666666667,3,1.4829986488731812,1.332771282910885,10.129973218548956
0.6333333333333333,3,1.5842405849569907,1.3782300138813717,13.00374280470866
0.7000000000000001,3,1.6753404748720377,1.389007089497448,17.09105639535509
0.7666666666666668,3,1.7581465559108866,1.39820460978002,20.472806713452997
0.8333333333333335,3,1.83404376714647,1.4090950912607145,23.17004007744698
0.9,3,1.9040967257106154,1.4318823207175155,24.799916864352983
