a,b,D_teoretyczny,D_numeryczny,Błąd (%)
0.3,3,1.0,1.033043633622361,3.3043633622360957
0.3666666666666667,3,1.0867550643547537,1.0929841125572237,0.5731786680164651
0.43333333333333335,3,1.2388142451834083,1.1862082319051044,4.246481139754374
0.5,3,1.3690702464285427,1.261837453665654,7.83252671238923
0.5666666666666667,3,1.4829986488731812,1.332771282910885,10.129973218548956
0.6333333333333333,3,1.5842405849569907,1.3782300138813715,13.003742804708674
0.7000000000000001,3,1.6753404748720377,1.389007089497448,17.09105639535509
0.7666666666666668,3,1.7581465559108866,1.3982046097800203,20.472806713452982
0.8333333333333335,3,1.83404376714647,1.4090950912607145,23.17004007744698
0.9,3,1.9040967257106154,1.4318823207175153,24.799916864352994
